instance_id,isbn,hit_ndl_search,locate_now,locate_init,count_lent,own_category_id
191007_113830,9784413040822,TRUE,HQ-7F-W07,HQ-7F-W07,0,7
191007_113846,9784004308232,FALSE,HQ-7F-W07,HQ-7F-W07,0,7
191007_113913,9784140881958,TRUE,HQ-7F-W07,HQ-7F-W07,0,7
191007_113931,9784047040595,TRUE,HQ-7F-W07,HQ-7F-W07,0,3
191007_113951,9784121017994,TRUE,HQ-7F-W07,HQ-7F-W07,0,7
191007_114005,9784334032197,TRUE,HQ-7F-W07,HQ-7F-W07,0,7
191007_114032,9784904708064,TRUE,HQ-7F-W07,HQ-7F-W07,0,4
191007_114052,9784569657059,TRUE,HQ-7F-W07,HQ-7F-W07,0,1
191007_114113,9784022734167,TRUE,HQ-7F-W07,HQ-7F-W07,0,7
191007_114128,9784061498785,TRUE,HQ-7F-W07,HQ-7F-W07,0,7
191007_114141,9784396113377,TRUE,HQ-7F-W07,HQ-7F-W07,0,7
191007_114253,9784419060725,TRUE,HQ-7F-W07,HQ-7F-W07,0,3
191007_114420,9784532312787,TRUE,HQ-7F-W07,HQ-7F-W07,0,6
191007_114435,9784569619163,TRUE,HQ-7F-W07,HQ-7F-W07,0,1
191007_114452,9784763199379,TRUE,HQ-7F-W07,HQ-7F-W07,0,3
191007_114512,9784478375310,TRUE,HQ-7F-W07,HQ-7F-W07,0,3
191007_114534,9784806805489,TRUE,HQ-7F-W07,HQ-7F-W07,0,3
191007_114556,9784763132642,TRUE,HQ-7F-W07,HQ-7F-W07,0,1
191007_114614,9784416212554,TRUE,HQ-7F-W07,HQ-7F-W07,0,5
191007_114639,9784492761076,TRUE,HQ-7F-W07,HQ-7F-W07,0,6
191007_114730,9784569777320,TRUE,HQ-7F-W07,HQ-7F-W07,0,6
191007_114821,9784901234474,TRUE,HQ-7F-W07,HQ-7F-W07,0,3
191007_114843,9784777932924,TRUE,HQ-7F-W07,HQ-7F-W07,0,1
191007_114900,9784140814529,TRUE,HQ-7F-W07,HQ-7F-W07,0,7
191007_114950,9784492091104,TRUE,HQ-7F-W07,HQ-7F-W07,0,6
191007_115012,9784798100173,TRUE,HQ-7F-W07,HQ-7F-W07,0,5
191007_115040,9784822223069,TRUE,HQ-7F-W07,HQ-7F-W07,0,5
191007_115130,9784492091111,TRUE,HQ-7F-W07,HQ-7F-W07,0,5
191007_115427,9784774192598,TRUE,HQ-5F-CART,HQ-7F-W07,1,0
191007_115438,9784798057613,TRUE,HQ-7F-W07,HQ-7F-W07,89,0
191007_120010,9784774109459,TRUE,HQ-7F-W07,HQ-7F-W07,0,5
191007_120153,9784140811320,TRUE,HQ-7F-W07,HQ-7F-W07,0,6
191011_092654,9784062723497,TRUE,HQ-7F-W07,HQ-7F-W07,0,7
191011_095004,9784121021779,TRUE,HQ-7F-W07,HQ-7F-W07,0,4
191011_102304,9784140883129,TRUE,ATG-105G-5F,HQ-7F-W07,0,7
191011_102323,9784413041157,TRUE,HQ-7F-W07,HQ-7F-W07,0,6
191011_102346,9784413041003,TRUE,HQ-7F-W07,HQ-7F-W07,0,3
191011_102403,9784087203165,TRUE,HQ-7F-W07,HQ-7F-W07,0,2
191011_102431,9784121805966,TRUE,HQ-7F-W07,HQ-7F-W07,0,6
191011_102444,9784756150943,TRUE,HQ-7F-W07,HQ-7F-W07,0,6
191011_102457,9784582855364,TRUE,HQ-7F-W07,HQ-7F-W07,0,3
191011_102518,9784041102411,TRUE,HQ-7F-W07,HQ-7F-W07,0,7
191011_102527,9784047101036,TRUE,HQ-7F-W07,HQ-7F-W07,0,3
191011_102614,9784121017666,TRUE,HQ-7F-W07,HQ-7F-W07,0,5
191011_102631,9784106100246,TRUE,HQ-7F-W07,HQ-7F-W07,0,7
191011_102645,9784334039943,TRUE,HQ-7F-W07,HQ-7F-W07,0,7
191011_102702,9784582856743,TRUE,HQ-7F-W07,HQ-7F-W07,0,2
191011_102713,9784062883788,TRUE,HQ-7F-W07,HQ-7F-W07,0,7
191011_102733,9784898315095,TRUE,HQ-7F-W07,HQ-7F-W07,0,4
191011_102744,9784166609895,TRUE,ATG-105G-5F,HQ-7F-W07,0,8
191011_102756,9784887597365,TRUE,HQ-7F-W07,HQ-7F-W07,0,3
191011_102807,9784309411439,TRUE,HQ-7F-W07,HQ-7F-W07,0,1
191011_102818,9784532191948,TRUE,HQ-7F-W07,HQ-7F-W07,0,3
191011_102846,9784761268831,TRUE,HQ-7F-W07,HQ-7F-W07,0,3
191011_102900,9784569652689,TRUE,ATG-105G-5F,HQ-7F-W07,0,7
191011_102931,9784492044049,TRUE,HQ-7F-W07,HQ-7F-W07,0,3
191011_102942,9784827202502,TRUE,HQ-7F-W07,HQ-7F-W07,0,3
191011_102957,9784478372814,TRUE,HQ-7F-W07,HQ-7F-W07,0,5
191011_103010,9784022572349,TRUE,HQ-7F-W07,HQ-7F-W07,0,5
191011_103020,9784897979403,TRUE,HQ-7F-W07,HQ-7F-W07,0,6
191011_103034,9784763195098,TRUE,HQ-7F-W07,HQ-7F-W07,0,1
191011_103044,9784492395950,TRUE,HQ-7F-W07,HQ-7F-W07,0,3
191011_103056,9784484111162,TRUE,HQ-7F-W07,HQ-7F-W07,0,0
191011_103208,9784780402995,TRUE,HQ-7F-W07,HQ-7F-W07,0,6
191011_103222,9784594072544,TRUE,HQ-7F-W07,HQ-7F-W07,0,5
191011_103233,9784396110239,TRUE,HQ-7F-W07,HQ-7F-W07,0,7
191011_103244,9784569656427,TRUE,HQ-7F-W07,HQ-7F-W07,0,7
191011_103256,9784480064707,TRUE,ATG-105G-5F,HQ-7F-W07,0,3
191011_103323,9784121501240,TRUE,HQ-7F-W07,HQ-7F-W07,0,9
191011_103349,9784061495043,TRUE,HQ-7F-W07,HQ-7F-W07,0,1
